Area,2015-16,2016-17,2017-18,2018-19,2019-20
Romsey,"25,400","26,454","28,030","28,483","30,575"
Coburg North,"23,820","23,198","25,996","26,941","30,110"
Fawkner,"21,278","21,054","20,884","21,547","22,559"
Pascoe Vale,"29,085","27,688","30,000","30,466","32,433"
Glenroy,"21,889","21,422","21,804","22,200","22,717"
Gowanbrae,"34,521","33,095","35,473","33,799","39,120"
Hadfield,"26,083","26,719","27,071","28,584","30,215"
Sunbury,"29,593","29,811","31,952","33,253","35,585"
Sunbury - South,"30,131","30,031","31,610","32,152","35,451"
Broadmeadows,"18,802","16,766","16,870","17,199","18,412"
Campbellfield - Coolaroo,"19,402","19,152","19,321","19,389","20,917"
Gladstone Park - Westmeadows,"27,502","28,140","28,972","30,678","31,703"
Greenvale - Bulla,"28,066","28,216","29,417","30,015","33,235"
Meadow Heights,"21,003","20,405","21,239","21,192","22,242"
Melbourne Airport,"20,385","12,143","23,329","20,820","22,335"
Roxburgh Park - Somerton,"23,352","21,936","22,340","22,326","23,873"
Tullamarine,"28,171","26,779","28,332","31,388","32,375"
Craigieburn - Central,"25,627","25,146","26,146","25,978","28,956"
Craigieburn - North,"28,171","26,145","26,055","27,786","30,254"
Craigieburn - South,"26,137","25,448","25,472","26,874","27,880"
Craigieburn - West,"25,960","24,863","24,590","25,000","26,728"
Mickleham - Yuroke,"30,714","30,436","26,773","27,800","29,254"
Bayswater,"27,150","26,493","26,941","28,656","31,998"
Knoxfield - Scoresby,"27,466","28,065","28,491","28,211","32,447"
Lysterfield,"28,585","29,317","31,222","32,014","35,891"
Rowville - Central,"28,224","28,509","30,598","31,730","34,286"
Rowville - North,"30,953","30,469","31,758","32,657","36,263"
Rowville - South,"30,789","29,440","31,369","31,788","34,523"
Wantirna,"28,035","27,498","28,213","28,893","31,534"
Wantirna South,"26,021","26,098","26,927","28,000","29,673"
Boronia,"27,897","27,777","29,588","30,272","33,100"
Ferntree Gully (North),"28,582","28,001","30,360","29,888","32,846"
Ferntree Gully (South) - Upper Ferntree Gully,"28,000","27,940","29,692","30,219","33,318"
The Basin,"29,143","27,542","29,511","31,259","34,040"
Donvale - Park Orchards,"25,290","25,498","26,000","26,834","28,773"
Warrandyte - Wonga Park,"25,865","26,349","26,893","26,645","30,556"
Bayswater North,"29,413","29,008","29,767","30,252","34,256"
Croydon Hills - Warranwood,"27,541","28,587","30,268","31,696","35,202"
Ringwood,"25,972","25,300","25,946","26,988","29,797"
Ringwood East,"26,850","28,103","28,642","29,238","32,980"
Ringwood North,"27,200","27,397","28,401","30,426","33,183"
Croydon - East,"28,861","28,820","30,358","31,174","33,186"
Croydon - West,"25,867","27,759","28,073","29,481","32,468"
Croydon South,"29,104","30,000","30,062","29,720","35,564"
Forest Hill,"24,712","25,498","26,256","26,515","28,887"
Mitcham (Vic.),"30,310","30,000","30,595","29,330","33,224"
Nunawading,"26,910","26,480","27,450","27,591","29,703"
Vermont,"27,359","28,003","29,007","30,226","32,674"
Vermont South,"24,190","24,203","25,534","25,526","26,936"
Belgrave - Selby,"26,144","27,289","27,217","28,488","31,702"
Chirnside Park,"27,567","28,119","29,659","32,083","32,902"
Healesville - Yarra Glen,"22,218","22,926","24,187","24,239","26,798"
Kilsyth,"28,990","31,048","31,327","31,826","34,998"
Lilydale - Coldstream,"26,489","25,628","26,637","28,617","32,037"
Monbulk - Silvan,"22,809","20,752","22,208","24,379","27,120"
Montrose,"26,968","29,155","29,242","29,153","33,188"
Mooroolbark,"27,420","28,641","29,844","30,799","33,185"
Mount Dandenong - Olinda,"25,000","25,080","25,814","26,804","29,833"
Mount Evelyn,"25,642","26,439","28,212","28,585","30,919"
Upwey - Tecoma,"27,179","28,158","30,168","30,177","33,385"
Wandin - Seville,"24,570","24,924","26,798","27,466","28,640"
Yarra Valley,"23,239","23,239","24,771","24,834","26,995"
Beaconsfield - Officer,"27,897","28,544","28,947","30,456","32,760"
Bunyip - Garfield,"24,000","23,101","25,814","26,558","29,610"
Emerald - Cockatoo,"25,673","26,108","26,907","27,866","30,328"
Koo Wee Rup,"22,318","23,041","24,047","26,194","30,060"
Pakenham - North,"26,082","26,493","27,610","28,619","31,534"
