 Area,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Total
Croydon Hills - Warranwood,0.1,0,0.8,0.1,1.2,0.7,1.6,0.7,0.3,0.3,0.6,0.3,1.1,0.9,0.8,1.6,1.7,0.3,0.5,13.8
Ringwood,0.1,0,0.8,0.1,0.8,0.7,1.3,1,0.3,0.3,0.7,0.2,1.3,1.2,0.6,1.3,1.8,0.3,0.5,13.5
Ringwood East,0.1,0,0.9,0.1,0.9,0.7,1.4,1,0.3,0.4,0.7,0.3,1.4,1.2,0.9,1.7,2.1,0.3,0.5,15.1
Ringwood North,0,0,0.3,0,0.5,0.3,0.8,0.4,0.2,0.1,0.3,0.1,0.7,0.5,0.4,0.8,0.9,0.2,0.2,6.9
Croydon - East,0.1,0,1,0.1,0.9,0.6,1,0.6,0.3,0.2,0.5,0.2,0.8,1,0.6,1,1.6,0.2,0.4,11.2
Croydon - West,0.1,0,0.7,0.1,0.7,0.5,1,0.6,0.2,0.2,0.5,0.2,0.8,0.8,0.5,0.9,1.3,0.2,0.3,9.7
Croydon South,0, np ,0.3,0,0.3,0.2,0.3,0.2,0.1,0,0.2,0.1,0.3,0.3,0.2,0.3,0.5,0.1,0.1,3.5
Forest Hill,0,0,0.4,0,0.3,0.4,0.8,0.6,0.2,0.2,0.4,0.1,0.7,0.7,0.3,0.7,0.9,0.2,0.2,7.4
Mitcham (Vic.),0,0,0.6,0.1,0.6,0.6,1.2,0.8,0.2,0.3,0.8,0.2,1.4,1.1,0.7,1.3,1.6,0.3,0.4,12.7
Nunawading,0,0,0.4,0.1,0.4,0.4,0.8,0.7,0.2,0.2,0.5,0.1,0.9,0.8,0.4,0.9,1.2,0.2,0.3,8.9
Vermont,0,0,0.4,0.1,0.4,0.4,0.7,0.5,0.1,0.2,0.4,0.1,0.7,0.6,0.3,0.8,0.9,0.1,0.3,7.3
Vermont South,0,0,0.4,0,0.4,0.4,0.9,0.6,0.1,0.2,0.4,0.2,0.8,0.7,0.3,0.9,0.9,0.2,0.3,7.9
Belgrave - Selby,0.1,0,0.4,0.1,0.6,0.4,0.7,0.4,0.2,0.2,0.3,0.1,0.6,0.5,0.4,1,0.9,0.2,0.3,7.5
Chirnside Park,0.1,0,0.6,0.1,0.8,0.4,0.9,0.5,0.2,0.1,0.4,0.2,0.6,0.6,0.4,0.7,1,0.2,0.3,8.2
Healesville - Yarra Glen,0.3,0,0.9,0.1,1,0.4,0.9,0.9,0.2,0.1,0.3,0.1,0.6,0.6,0.4,0.8,1,0.2,0.4,9.5
Kilsyth,0,0,0.7,0.1,0.7,0.4,0.7,0.3,0.1,0.1,0.3,0.1,0.4,0.5,0.3,0.5,0.9,0.1,0.3,6.6
Lilydale - Coldstream,0.2,0,1.1,0.1,1.5,0.7,1.5,0.9,0.3,0.2,0.6,0.3,0.8,1,0.7,1.2,1.7,0.3,0.6,13.9
Monbulk - Silvan,0.3,0,0.2,0,0.4,0.3,0.4,0.3,0.1,0,0.1,0.1,0.2,0.3,0.2,0.3,0.4,0.1,0.2,4.1
Montrose,0,0,0.4,0,0.5,0.3,0.4,0.3,0.1,0.1,0.2,0.1,0.3,0.4,0.3,0.4,0.6,0.1,0.2,4.8
Mooroolbark,0.1,0,1.4,0.1,1.5,0.9,1.8,1,0.3,0.2,0.7,0.3,1.1,1.4,0.9,1.5,2.2,0.3,0.7,16.8
Mount Dandenong - Olinda,0.1,0,0.4,0,0.5,0.3,0.5,0.5,0.2,0.1,0.3,0.1,0.6,0.5,0.4,0.9,0.8,0.2,0.2,6.9
Mount Evelyn,0.1,0,0.6,0,0.9,0.4,0.7,0.4,0.2,0.1,0.2,0.1,0.4,0.5,0.4,0.7,0.9,0.2,0.3,7.2
Upwey - Tecoma,0,0,0.5,0.1,0.6,0.4,0.7,0.4,0.2,0.2,0.3,0.1,0.6,0.6,0.5,1,1,0.2,0.3,7.6
Wandin - Seville,0.3,0,0.5,0,0.8,0.4,0.6,0.3,0.1,0,0.2,0.1,0.3,0.4,0.2,0.4,0.7,0.1,0.3,6
Yarra Valley,0.4,0,0.9,0.1,1.3,0.5,1,0.7,0.3,0.1,0.4,0.2,0.5,0.8,0.4,1,1.4,0.2,0.5,11.2
Beaconsfield - Officer,0.1,0,1.3,0.1,1.4,1,1.8,1.1,0.5,0.2,0.8,0.3,1,1.6,0.7,1.3,2.2,0.4,0.5,16.7
Bunyip - Garfield,0.2,0,0.5,0.1,0.9,0.4,0.6,0.3,0.2,0.1,0.2,0.1,0.4,0.5,0.3,0.5,0.7,0.3,0.3,6.5
Emerald - Cockatoo,0.3,0,1.1,0.1,1.5,0.8,1.3,0.7,0.3,0.2,0.5,0.3,0.8,1,0.5,1.3,1.5,0.3,0.5,13.3
Koo Wee Rup,0.5,0,0.6,0.1,0.7,0.3,0.6,0.3,0.3,0,0.2,0.1,0.2,0.5,0.2,0.3,0.7,0.2,0.2,6.2
Pakenham - North,0.1,0,1.4,0.1,1.4,0.9,1.8,0.9,0.6,0.2,0.5,0.3,0.7,1.6,0.6,0.9,2,0.4,0.6,15.4
Pakenham - South,0.2,0,2.2,0.2,1.8,1.2,2.4,1.6,0.9,0.3,0.9,0.4,1.1,2.6,0.9,1.3,3.1,0.4,0.8,22.7
Berwick - North,0.1,0,1.2,0.1,1.3,1,1.8,0.9,0.4,0.2,0.8,0.3,1.1,1.3,0.7,1.5,1.9,0.4,0.5,16.1
Berwick - South,0.1,0,1.7,0.2,1.4,1.2,2.2,1.3,0.6,0.4,0.9,0.3,1.5,2.2,0.9,1.6,2.8,0.5,0.6,20.8
Doveton,0,0,1,0.1,0.4,0.4,0.7,0.4,0.3,0.1,0.2,0.1,0.3,1.3,0.3,0.3,0.8,0.1,0.2,6.9
Hallam,0,0,0.8,0.1,0.5,0.4,0.7,0.4,0.2,0.1,0.3,0.1,0.3,1.2,0.3,0.3,0.9,0.1,0.2,7.2
Narre Warren North,0,0,0.4,0,0.7,0.3,0.6,0.3,0.1,0.1,0.2,0.1,0.4,0.4,0.2,0.4,0.5,0.1,0.2,5.4
Endeavour Hills - North,0,0,0.8,0.1,0.5,0.5,0.9,0.4,0.3,0.1,0.4,0.1,0.5,0.9,0.3,0.5,1,0.1,0.2,8
Endeavour Hills - South,0,0,0.8,0.1,0.5,0.5,1,0.5,0.3,0.1,0.4,0.1,0.6,1.2,0.4,0.6,1.1,0.1,0.3,9
Narre Warren - North East,0,0,1,0.1,0.8,0.6,1.2,0.5,0.3,0.2,0.4,0.1,0.6,1.1,0.4,0.7,1.1,0.2,0.4,9.8
Narre Warren - South West,0.1,0,1.2,0.1,0.6,0.7,1.2,0.6,0.4,0.1,0.4,0.2,0.5,1.4,0.4,0.5,1.2,0.2,0.4,10.4
Cranbourne,0.1,0,1.7,0.2,1.1,0.9,1.6,1,0.6,0.1,0.5,0.2,0.7,2,0.5,0.6,1.8,0.3,0.6,14.7
Cranbourne East,0.2,0,3.7,0.3,2.3,2.1,4.1,2.5,1.4,0.5,1.7,0.5,2,5.1,1.4,1.8,7.3,0.5,1.2,39.5
Cranbourne North,0.1,0,1.7,0.2,1.1,1.1,2,1,0.6,0.2,0.7,0.2,0.9,2.3,0.6,0.8,2.4,0.3,0.5,17.2
Cranbourne South,0.1,0,0.9,0.1,1.2,0.6,1.1,0.5,0.3,0.1,0.4,0.2,0.6,1,0.4,0.6,1.4,0.3,0.4,10.6
Cranbourne West,0.1,0,1.6,0.2,0.9,0.8,1.5,0.9,0.6,0.1,0.5,0.2,0.7,2,0.4,0.5,2.4,0.2,0.5,14.6
Hampton Park - Lynbrook,0.2,0,2.5,0.2,0.9,1.1,1.7,1,0.7,0.2,0.6,0.2,0.8,2.9,0.6,0.6,2,0.2,0.6,17.4
Lynbrook - Lyndhurst,0.1,0,1.4,0.1,0.5,0.8,1.3,0.7,0.5,0.2,0.6,0.2,0.9,1.6,0.4,0.6,1.8,0.1,0.4,12.6
Pearcedale - Tooradin,0.1,0,0.5,0,0.8,0.3,0.6,0.3,0.2,0,0.2,0.1,0.3,0.4,0.2,0.4,0.6,0.1,0.2,5.6
Narre Warren South (East),0,0,0.9,0.1,0.8,0.6,1.2,0.6,0.3,0.2,0.4,0.2,0.5,1,0.4,0.6,1.1,0.2,0.3,9.6
Narre Warren South (West),0,0,1.2,0.1,0.8,0.8,1.3,0.7,0.4,0.1,0.5,0.2,0.6,1.5,0.4,0.6,1.3,0.2,0.4,11.4
Clarinda - Oakleigh South,0,0,0.6,0,0.4,0.4,0.9,0.5,0.3,0.2,0.4,0.1,0.6,0.8,0.3,0.5,1,0.1,0.3,7.7
Clayton South,0.1,0,0.8,0.1,0.4,0.6,1,1.1,0.3,0.1,0.4,0.2,0.8,1.9,0.3,0.5,1.2,0.1,0.4,10.5
Dandenong,0.2,0,2.7,0.2,0.9,1.1,1.8,1.5,0.5,0.2,0.7,0.2,0.9,4.1,0.6,0.7,2.5,0.2,0.6,20.1
Dandenong North,0.1,0,1.6,0.1,0.8,0.8,1.5,1,0.4,0.2,0.6,0.2,0.8,2.3,0.5,0.8,1.9,0.2,0.5,14.7
Dingley Village,0,0,0.6,0.1,0.5,0.5,0.9,0.5,0.2,0.1,0.4,0.2,0.6,0.6,0.3,0.7,0.8,0.2,0.3,7.3
Keysborough,0.2,0,2.7,0.2,0.9,1.4,2.3,1.4,0.6,0.2,1,0.3,1.4,2.5,0.6,1.1,2.3,0.2,0.8,21
Noble Park North,0,0,0.5,0,0.3,0.3,0.5,0.4,0.2,0.1,0.2,0.1,0.3,0.7,0.1,0.3,0.6,0.1,0.2,5
Springvale,0.5,0,2,0.1,0.5,1,1.7,1.9,0.3,0.2,0.6,0.2,1,2.8,0.3,0.6,1.6,0.2,0.8,16.7
Springvale South,0.3,0,1.4,0.1,0.3,0.6,0.9,0.7,0.2,0.1,0.3,0.1,0.5,1.5,0.2,0.3,0.7,0.1,0.4,8.9
Noble Park - East,0.2,0,1.1,0.1,0.3,0.5,0.9,0.9,0.3,0.1,0.4,0.1,0.6,2,0.4,0.5,1.3,0.1,0.4,10.3
Noble Park - West,0.4,0,2,0.1,0.5,0.8,1.4,1.2,0.4,0.1,0.5,0.1,0.8,2.8,0.4,0.6,1.6,0.1,0.6,14.6
Ashwood - Chadstone,0,0,0.7,0.1,0.6,0.7,1.6,1.3,0.3,0.3,0.9,0.3,1.6,1.6,0.6,1.4,1.8,0.3,0.5,14.9
Clayton,0.1,0,0.8,0.1,0.5,0.8,1.5,2,0.2,0.3,0.5,0.2,1.4,2.6,0.3,2.1,1.7,0.2,0.5,16.3
Glen Waverley - East,0,0,0.8,0.1,0.5,0.8,1.4,1.2,0.3,0.3,0.9,0.3,1.6,1.2,0.6,1.4,1.6,0.3,0.4,13.9
Glen Waverley - West,0,0,0.7,0.1,0.4,0.8,1.5,1.3,0.3,0.3,0.8,0.3,1.6,1.3,0.5,1.2,1.6,0.2,0.4,13.8
Mount Waverley - North,0,0,0.5,0.1,0.4,0.6,1.2,0.8,0.2,0.3,0.6,0.2,1.4,1.1,0.4,1.1,1.2,0.2,0.3,11
Mount Waverley - South,0,0,0.6,0.1,0.6,0.7,1.3,1,0.3,0.3,0.8,0.2,1.6,1.3,0.6,1.4,1.5,0.2,0.4,13.5
Mulgrave,0,0,1,0.1,0.7,0.8,1.5,1,0.3,0.2,0.8,0.2,1.1,1.6,0.6,1.1,1.7,0.2,0.5,13.8
Oakleigh - Huntingdale,0,0,0.9,0.1,0.8,0.9,1.9,1.6,0.4,0.4,0.9,0.3,1.8,1.9,0.7,1.8,2,0.3,0.5,17.6
Wheelers Hill,0,0,0.8,0.1,0.6,0.9,1.4,0.9,0.2,0.3,0.8,0.3,1.3,1.1,0.5,1.3,1.5,0.2,0.3,12.9
Ardeer - Albion,0,0,0.4,0,0.3,0.2,0.5,0.7,0.2,0.1,0.3,0.1,0.4,1.2,0.3,0.3,0.7,0.1,0.2,6.3
Cairnlea,0,0,0.6,0,0.3,0.3,0.8,0.6,0.4,0.1,0.4,0.1,0.4,0.9,0.3,0.4,0.7,0.1,0.3,6.8
Deer Park - Derrimut,0.1,0,1.5,0.1,0.9,0.8,1.7,1.4,1.1,0.2,0.8,0.3,1,3,0.8,0.7,2.1,0.3,0.6,18.1
Delahey,0,0,0.5,0,0.3,0.3,0.6,0.4,0.4,0.1,0.3,0.1,0.3,0.8,0.3,0.2,0.6,0.1,0.2,5.5
Keilor Downs,0,0,0.5,0.1,0.6,0.4,0.9,0.6,0.6,0.1,0.5,0.1,0.5,1.1,0.5,0.6,0.9,0.2,0.3,8.8
Kings Park (Vic.),0.1,0,0.9,0.1,0.4,0.4,0.9,0.7,0.5,0.1,0.4,0.1,0.3,1.4,0.3,0.3,0.8,0.1,0.4,8.3
St Albans - North,0.1,0,1.1,0.1,0.6,0.6,1.3,1.5,0.6,0.1,0.5,0.2,0.6,2.6,0.5,0.4,1.3,0.2,0.6,13.3
St Albans - South,0.1,0,0.9,0.1,0.4,0.5,1.1,1.4,0.5,0.1,0.5,0.1,0.5,2,0.4,0.4,1.1,0.2,0.6,11.1
Sunshine,0.1,0,0.5,0.1,0.3,0.3,0.7,1.1,0.3,0.1,0.3,0.1,0.5,1.5,0.4,0.5,0.8,0.1,0.3,8.2
Sunshine North,0.1, np ,0.7,0.1,0.4,0.4,0.9,0.8,0.4,0.1,0.3,0.1,0.4,1.3,0.3,0.4,0.7,0.1,0.4,8
Sunshine West,0.1,0,1,0.1,0.6,0.7,1.3,1.1,0.7,0.2,0.6,0.2,0.7,2.2,0.5,0.6,1.2,0.2,0.5,12.6
Sydenham,0,0,0.5,0.1,0.5,0.3,0.9,0.7,0.6,0.1,0.4,0.2,0.6,1.3,0.4,0.5,1,0.2,0.3,8.9
Taylors Lakes,0,0,0.8,0.1,1,0.6,1.5,0.8,0.8,0.2,0.7,0.2,0.9,1.3,0.7,1,1.2,0.3,0.4,13.1
