 Area,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Total,Lga
Pakenham - South,0.2,0,2.2,0.2,1.8,1.2,2.4,1.6,0.9,0.3,0.9,0.4,1.1,2.6,0.9,1.3,3.1,0.4,0.8,22.7,Cardinia
Berwick - North,0.1,0,1.2,0.1,1.3,1,1.8,0.9,0.4,0.2,0.8,0.3,1.1,1.3,0.7,1.5,1.9,0.4,0.5,16.1,Casey
Berwick - South,0.1,0,1.7,0.2,1.4,1.2,2.2,1.3,0.6,0.4,0.9,0.3,1.5,2.2,0.9,1.6,2.8,0.5,0.6,20.8,Casey
Doveton,0,0,1,0.1,0.4,0.4,0.7,0.4,0.3,0.1,0.2,0.1,0.3,1.3,0.3,0.3,0.8,0.1,0.2,6.9,Casey
Hallam,0,0,0.8,0.1,0.5,0.4,0.7,0.4,0.2,0.1,0.3,0.1,0.3,1.2,0.3,0.3,0.9,0.1,0.2,7.2,Casey
Narre Warren North,0,0,0.4,0,0.7,0.3,0.6,0.3,0.1,0.1,0.2,0.1,0.4,0.4,0.2,0.4,0.5,0.1,0.2,5.4,Casey
Endeavour Hills - North,0,0,0.8,0.1,0.5,0.5,0.9,0.4,0.3,0.1,0.4,0.1,0.5,0.9,0.3,0.5,1,0.1,0.2,8,Casey
Endeavour Hills - South,0,0,0.8,0.1,0.5,0.5,1,0.5,0.3,0.1,0.4,0.1,0.6,1.2,0.4,0.6,1.1,0.1,0.3,9,Casey
Narre Warren - North East,0,0,1,0.1,0.8,0.6,1.2,0.5,0.3,0.2,0.4,0.1,0.6,1.1,0.4,0.7,1.1,0.2,0.4,9.8,Casey
Narre Warren - South West,0.1,0,1.2,0.1,0.6,0.7,1.2,0.6,0.4,0.1,0.4,0.2,0.5,1.4,0.4,0.5,1.2,0.2,0.4,10.4,Casey
Cranbourne,0.1,0,1.7,0.2,1.1,0.9,1.6,1,0.6,0.1,0.5,0.2,0.7,2,0.5,0.6,1.8,0.3,0.6,14.7,Casey
Cranbourne East,0.2,0,3.7,0.3,2.3,2.1,4.1,2.5,1.4,0.5,1.7,0.5,2,5.1,1.4,1.8,7.3,0.5,1.2,39.5,Casey
Cranbourne North,0.1,0,1.7,0.2,1.1,1.1,2,1,0.6,0.2,0.7,0.2,0.9,2.3,0.6,0.8,2.4,0.3,0.5,17.2,Casey
Cranbourne South,0.1,0,0.9,0.1,1.2,0.6,1.1,0.5,0.3,0.1,0.4,0.2,0.6,1,0.4,0.6,1.4,0.3,0.4,10.6,Casey
Cranbourne West,0.1,0,1.6,0.2,0.9,0.8,1.5,0.9,0.6,0.1,0.5,0.2,0.7,2,0.4,0.5,2.4,0.2,0.5,14.6,Casey
