Area,2015-16,2016-17,2017-18,2018-19,2019-20,Lga
Tullamarine,5,5,5.2,5.2,5,Hume
Craigieburn - Central,6.1,6.4,6.4,6.6,6.2,Hume
Craigieburn - North,8,8.9,9.5,9.9,9.5,Hume
Craigieburn - South,11.8,13,14,14.7,15,Hume
Craigieburn - West,9.5,11,12.3,13.8,14.9,Hume
Mickleham - Yuroke,2.6,4.3,6.6,9.7,13.5,Hume
Bayswater,9.6,9.8,10.2,10.3,10.2,Knox 
Knoxfield - Scoresby,11.6,12.4,12.8,13.5,13.2,Knox 
Lysterfield,5.8,5.9,5.8,6,5.7,Knox 
Rowville - Central,12.8,12.9,12.8,13.1,12.9,Knox 
Rowville - North,6.4,6.6,6.6,6.7,6.5,Knox 
Rowville - South,8.9,9.3,9.2,9.3,9,Knox 
Wantirna,10.9,11,11.1,11.3,11,Knox 
Wantirna South,14.1,14.2,14.4,14.5,14.4,Knox 
Boronia,17.3,17.8,18.1,18.6,18.3,Knox 
Ferntree Gully (North),10.8,11.2,11.1,11.5,11,Knox 
Ferntree Gully (South) - Upper Ferntree Gully,12.1,12.4,12.5,13,12.6,Knox 
The Basin,3.5,3.7,3.6,3.6,3.6,Knox 
Donvale - Park Orchards,12.3,12.5,12.6,12.8,12.7,Manningham
Warrandyte - Wonga Park,8.7,8.5,8.5,8.6,8.3,Manningham
Bayswater North,9.4,9.7,9.9,10.1,9.7,Maroondah
Croydon Hills - Warranwood,15.6,15.7,15.6,15.6,15.2,Maroondah
Ringwood,13.3,13.9,14.5,15,14.9,Maroondah
Ringwood East,15.9,16.5,16.8,17.1,16.7,Maroondah
Ringwood North,7.9,8,7.9,7.9,7.6,Maroondah
Croydon - East,11.5,12.1,12.1,12.5,12.4,Maroondah
Croydon - West,9.9,10.2,10.4,10.6,10.7,Maroondah
Croydon South,3.6,3.6,3.7,3.8,3.8,Maroondah
Forest Hill,7.8,7.9,8,8.3,8.2,Whitehorse
Mitcham (Vic.),13,13.5,13.7,14.2,14.1,Whitehorse
Nunawading,8.9,9.5,9.6,9.9,9.9,Whitehorse
Vermont,7.8,8,8.1,8.3,8.1,Whitehorse
Vermont South,8.6,8.8,8.7,9.1,8.9,Whitehorse
Belgrave - Selby,8.4,8.7,8.5,8.9,8.5,Yarra Ranges
Chirnside Park,7.9,8.4,8.8,9,9,Yarra Ranges
Healesville - Yarra Glen,10.5,10.8,11,11.3,11,Yarra Ranges
Kilsyth,6.9,7,7.1,7.3,7.3,Yarra Ranges
Lilydale - Coldstream,15.2,15.7,15.6,15.7,15.4,Yarra Ranges
Monbulk - Silvan,4.6,4.9,4.9,4.9,4.7,Yarra Ranges
Montrose,5.5,5.5,5.5,5.5,5.4,Yarra Ranges
Mooroolbark,17.7,18.2,18.3,18.7,18.4,Yarra Ranges
Mount Dandenong - Olinda,8.2,8.2,8.2,8.2,8.1,Yarra Ranges
Mount Evelyn,7.9,8.1,8.1,8.3,8.1,Yarra Ranges
Upwey - Tecoma,8.7,8.8,8.7,9,8.5,Yarra Ranges
Wandin - Seville,6.5,6.6,6.7,6.9,6.9,Yarra Ranges
Yarra Valley,12.2,12.7,12.7,13.1,12.9,Yarra Ranges
Beaconsfield - Officer,10.9,13,15,17.1,18.3,Cardinia
Bunyip - Garfield,6.8,7.3,7.4,7.6,7.6,Cardinia
Emerald - Cockatoo,14.3,15.1,15.1,15.4,15.1,Cardinia
Koo Wee Rup,5.9,6.3,6.5,6.8,7.3,Cardinia
Pakenham - North,14.2,15.3,16,16.8,16.9,Cardinia
Pakenham - South,20.5,22.2,23.3,24.5,25,Cardinia
Berwick - North,17.6,18.1,18,18.2,17.8,Casey
Berwick - South,19.6,20.8,21.6,22.9,23,Casey
Doveton,7,7.5,7.8,8.1,8.2,Casey
Hallam,7.7,7.8,8,8.3,8.2,Casey
Narre Warren North,6.1,6.3,6.3,6.4,6.2,Casey
Endeavour Hills - North,8.7,8.9,9.2,9.4,9.1,Casey
Endeavour Hills - South,10.4,10.6,10.6,10.6,10.2,Casey
Narre Warren - North East,10.5,10.8,10.9,11.2,10.9,Casey
Narre Warren - South West,10.5,11,11.4,11.8,11.6,Casey
Cranbourne,15.1,15.4,16,16.5,16.2,Casey
Cranbourne East,18.9,25.5,31.3,38.6,44,Casey
Cranbourne North,15.3,16.8,18.2,19,19.2,Casey
Cranbourne South,6.9,7.5,8.4,10.1,11.9,Casey
Cranbourne West,11.8,13.4,14.4,15.5,16.3,Casey
Hampton Park - Lynbrook,18.5,19.1,19.6,19.9,19.5,Casey
Lynbrook - Lyndhurst,11.6,12.5,13.2,13.8,14.1,Casey
Pearcedale - Tooradin,6.2,6.5,6.5,6.5,6.4,Casey
Narre Warren South (East),10.2,10.5,10.7,11,10.6,Casey
Narre Warren South (West),12.2,12.8,13.1,13.1,12.7,Casey
Clarinda - Oakleigh South,8.7,9,9,9,8.7,Monash
Clayton South,9.7,10.4,11,11.7,12,Kingston
Dandenong,20.6,22,23.4,24.5,24,Greater Dandenong
Dandenong North,15.7,16.4,16.7,17.4,16.8,Greater Dandenong
Dingley Village,8.1,8.2,8.1,8.4,8.1,Kingston
